name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
14 Tullywiggan Road,GBR0005673,1.0,54.6221,-6.7398,biomass,,,,GBR,United Kingdom,PAR Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
289 Finvoy Road,GBR0004884,5.9,54.9638,-6.493,solar,,,,GBR,United Kingdom,Lightsource Renewable Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.85,8.83,8.88,8.88,8.95,
30 Acres,GBR0005396,4.965,53.2062,-1.1968,solar,,,,GBR,United Kingdom,Navitas Project,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.09,7.55,7.59,7.61,7.69,
A C Shropshire (Farm AD),GBR0000233,2.5,52.586,-1.2375,biomass,,,,GBR,United Kingdom,PROjEN,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
A'Chruach,GBR0004331,42.6,56.1528,-5.3102,wind,,,,GBR,United Kingdom,Infinis (formerly Novera Energy),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,107.39,
ABP Ellesmere Abbatoir,GBR0006488,1.1,52.8543,-2.8986,biomass,,,,GBR,United Kingdom,ABP Ellesmere,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
AMBLESTON SOLAR PANELS,GBR0001623,6.0,51.8992,-4.8665,solar,,,,GBR,United Kingdom,Arqiva Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.98,9.05,9.04,9.0,9.23,
ANP Newport Wind Turbine,GBR0005555,2.3,51.5559,-2.9738,wind,,,,GBR,United Kingdom,Associated British Ports,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,5.79,
Abbey Farm,GBR0001737,9.0,52.4193,-0.2366,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,13.49,13.41,13.61,13.65,13.68,
Abbey Fields Farm,GBR0005394,5.3,51.3187,0.9029,solar,,,,GBR,United Kingdom,FR Solar Kent PV,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.92,8.07,8.06,8.06,8.14,
Abbots Ann,GBR0004874,7.0,51.1636,-1.5123,solar,,,,GBR,United Kingdom,British Solar Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,10.41,10.48,10.48,10.33,10.69,
Abbots Ripton,GBR0001766,24.66717,52.3787,-0.1982,solar,,,,GBR,United Kingdom,Octopus Investment,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,35.46,35.1,35.62,35.72,36.02,
Abbots Ripton Solar Farm (ext.),GBR0004997,3.9,52.3726,-0.1943,solar,,,,GBR,United Kingdom,Rectory Lane Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,5.76,5.69,5.76,5.77,5.72,
Abbots moor Farm Anaerobic Digester (Farm AD),GBR0000247,1.0,52.839,-2.93,biomass,,,,GBR,United Kingdom,Ms Catherine Suckley,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Abergelli,GBR0001953,7.68222,51.7007,-3.9476,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,11.56,11.31,11.35,11.37,11.52,
Aberporth Solar Farm,GBR0005256,1.5,52.1234,-4.5632,solar,,,,GBR,United Kingdom,JBM Solutions,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,2.13,2.17,2.13,2.14,2.17,
Aberthaw B,GBR1000374,1586.0,51.3873,-3.4049,coal,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,2409.11,
Aberthaw GT,GBR1000375,51.0,51.3875,-3.4068,gas,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,236.64,
Aberthaw Power Station Biomass,GBR0000001,35.0,51.3875,-3.4066,biomass,,,,GBR,United Kingdom,RWE npower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Abhainn Gleann Nam Fiadh,GBR0000498,2.0,56.7839,-4.7711,hydro,,,,GBR,United Kingdom,Green Highland Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6.54,5.17,7.13,5.6,5.58,
Achairn,GBR0003285,6.2,58.4385,-3.2015,wind,,,,GBR,United Kingdom,James and Ronald Innes,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,15.62,
Achanalt,GBR0000468,3.0,57.6108,-4.916,hydro,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,12.27,9.41,15.11,10.68,11.03,
Achany,GBR0003205,38.0,58.0019,-4.5,wind,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,95.79,
Acharn Forest Killin Biomass Plant,GBR2001109,5.6,56.4529,-4.3342,biomass,,,,GBR,United Kingdom,Northern Energy Developments,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Achlachan Wind Farm,GBR2001060,10.0,58.4489,-3.4546,wind,,,,GBR,United Kingdom,Whirlwind Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,25.2,
Advanced Manufacturing Research Centre,GBR0003028,2.6,53.3876,-1.3779,wind,,,,GBR,United Kingdom,,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,6.55,
Afton Wind Farm,GBR2001058,50.0,55.3116,-4.1743,wind,,,,GBR,United Kingdom,InfraRed Capital Partners/ E.on,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,126.04,
Agricultural Land at Trecastle,GBR0005150,4.0,51.5238,-3.4252,solar,,,,GBR,United Kingdom,Suncredit UK/ Vogt solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,5.89,5.86,5.87,5.93,5.88,
Aigas,GBR0000398,20.0,57.4574,-4.5453,hydro,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,69.75,53.33,96.63,64.19,64.02,
Aikengall,GBR0004526,48.0,55.9172,-2.4901,wind,,,,GBR,United Kingdom,Community Wind Power (01928 734544),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,121.0,
Aikengall II  Wester Dod Community Wind Farm,GBR0004332,60.8,55.9172,-2.4901,wind,,,,GBR,United Kingdom,Community Windpower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,153.27,
Airfield Farm (Podington) (Resubmission),GBR0004116,8.6,52.2363,-0.6089,wind,,,,GBR,United Kingdom,Airvolution Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,21.68,
Airfield Farm PV,GBR0001550,5.0,52.4746,0.9501,solar,,,,GBR,United Kingdom,P V Farms 01,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.64,7.59,7.48,7.5,7.6,
Airies Farm,GBR0004462,35.0,54.8021,-4.6577,wind,,,,GBR,United Kingdom,NTR,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,88.23,
Airport Road West,GBR2001107,1.2,54.626,-5.8729,biomass,,,,GBR,United Kingdom,Belfast Harbour Commissioners,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Alan Bartlett & Sons Solar,GBR0001085,1.2,52.4511,0.0379,solar,,,,GBR,United Kingdom,Alan Bartlett & Sons,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.67,1.72,1.69,1.69,1.69,
Albrighton Solar farm,GBR0005506,15.8,52.6395,-2.2507,solar,,,,GBR,United Kingdom,Big 60 Million,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,22.91,24.13,23.98,23.93,24.66,
